Показатель,Пациент_ПД,Среднее_кандидатов,Std_кандидатов,Z_score,Процентиль,N_кандидатов,Отличие
avg_avg_respone_left,425.4283333,99.55716013295455,49.292201857926514,6.611008656223038,100.00000000000001,44,Значительное
avg_avg_respone_right,170.2283333,92.24726813500001,41.34144624935759,1.8862684361510877,90.90909090909092,44,Умеренное
theshold_edge_right,61.0,44.70454545454545,9.637944767368351,1.6907603165175675,95.45454545454547,44,Умеренное
interstimul_threshod,61.0,44.70454545454545,9.637944767368351,1.6907603165175675,95.45454545454547,44,Умеренное
avg_interstimul_threshod,61.0,44.70454545454545,9.637944767368351,1.6907603165175675,95.45454545454547,44,Умеренное
theshold_edge_left,59.0,44.84090909090909,8.767043613385773,1.615035984020018,93.18181818181819,44,Умеренное
inhibition_threshold_right,59.0,44.84090909090909,8.767043613385773,1.615035984020018,93.18181818181819,44,Умеренное
avg_inhibition_threshold_right,59.0,44.84090909090909,8.767043613385773,1.615035984020018,93.18181818181819,44,Умеренное
threshold_left,55.0,43.54545454545455,9.10408136610505,1.2581769641461356,85.22727272727273,44,Умеренное
motor_evoked_left,0.508,2.071022727272727,1.4687579553151886,-1.0641799226458042,0.0,44,Умеренное
avg_inhibition_threshold_left,3.277777778,3.2777777780000004,4.440892098500626e-16,-1.0,51.13636363636364,44,В пределах нормы
threshold_right,50.0,42.15909090909091,8.573063475524481,0.9145982778844879,81.81818181818183,44,В пределах нормы
motor_evoked_right,2.37,2.5184772727272726,1.9976863149953836,-0.07432461824098525,61.36363636363637,44,В пределах нормы
